"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Name Basiswert 1","Name Basiswert 2"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","Stadt München","7.8","27535.5","354448.8","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","01 Altstadt - Lehel","2.9","141.5","4837","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","02 Ludwigsvorstadt - Isarvorstadt","5.1","759.5","14809.8","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","03 Maxvorstadt","3.3","430.5","13199","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","04 Schwabing - West","4.5","598","13378","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","05 Au - Haidhausen","5.6","696.8","12496.3","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","06 Sendling","8.9","820.5","9177.8","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","07 Sendling - Westpark","9.8","1349.5","13724.3","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","08 Schwanthalerhöhe","6.7","575.3","8601.3","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","09 Neuhausen - Nymphenburg","6.1","1240.8","20371","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","10 Moosach","10.6","1392.3","13170.8","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
"ALG II-Empfängerdichte_Erwerbsfähige Regelleistungsberechtigtendichte","ausländisch","2016","11 Milbertshofen - Am Hart","8.5","2190","25881","ausländische ALG II-Empfänger_Erwerbsfähige Regelleistungsberechtigte nach SGB II","ausländische Hauptwohnsitzbevölkerung im Alter von 15 bis unter 65 Jahren"
