"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Name Basiswert 1","Name Basiswert 2"
"Arbeitslosendichte","ausländisch","2016","Stadt München","4.7","16496.5","354448.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","01 Altstadt - Lehel","2.1","101.5","4837","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","02 Ludwigsvorstadt - Isarvorstadt","3.5","525","14809.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","03 Maxvorstadt","2.6","348","13199","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","04 Schwabing - West","3.1","408.5","13378","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","05 Au - Haidhausen","4","503.5","12496.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","06 Sendling","5.6","511.5","9177.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","07 Sendling - Westpark","5.6","766.3","13724.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","08 Schwanthalerhöhe","4.8","413.3","8601.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","09 Neuhausen - Nymphenburg","3.8","779.3","20371","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","10 Moosach","6.2","817","13170.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","11 Milbertshofen - Am Hart","5.1","1323.8","25881","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","12 Schwabing - Freimann","3.4","667.5","19534","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","13 Bogenhausen","3.6","614.5","16930.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","14 Berg am Laim","6","699.3","11739.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","15 Trudering - Riem","5.4","702.8","13018","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","16 Ramersdorf - Perlach","5.5","1647.5","29792.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","17 Obergiesing - Fasangarten","4.7","652.8","14005","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","18 Untergiesing - Harlaching","4.8","524.8","11016.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","4.2","841","20246.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","20 Hadern","4.1","468.5","11401.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","21 Pasing - Obermenzing","5.6","735.3","13181.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","22 Aubing - Lochhausen - Langwied","5","480.5","9678.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","23 Allach - Untermenzing","5.3","295.5","5581.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","24 Feldmoching - Hasenbergl","5.6","909","16219.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2016","25 Laim","5.1","632.3","12456.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","Stadt München","5","16961.8","337489.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","01 Altstadt - Lehel","2.3","106.3","4593","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","02 Ludwigsvorstadt - Isarvorstadt","4","566.5","14093.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","03 Maxvorstadt","3","369.8","12398.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","04 Schwabing - West","3.4","440.5","12894.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","05 Au - Haidhausen","4","485","12119.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","06 Sendling","5.8","524.5","9024","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","07 Sendling - Westpark","6.4","838","13103.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","08 Schwanthalerhöhe","5.4","458.3","8464","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","09 Neuhausen - Nymphenburg","4.3","860.5","19911.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","10 Moosach","6.4","849","13174.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","11 Milbertshofen - Am Hart","5.6","1399.5","25054","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","12 Schwabing - Freimann","3.8","693.8","18285.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","13 Bogenhausen","3.8","593.3","15581.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","14 Berg am Laim","6","679.8","11317","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","15 Trudering - Riem","5.4","638.3","11925","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","16 Ramersdorf - Perlach","6.2","1753.8","28500.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","17 Obergiesing - Fasangarten","4.8","655.8","13622","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","18 Untergiesing - Harlaching","5.2","523.3","10101.8","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","4.6","850.8","18423.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","20 Hadern","4.6","497.8","10857.5","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","21 Pasing - Obermenzing","5.8","738","12634.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
"Arbeitslosendichte","ausländisch","2015","22 Aubing - Lochhausen - Langwied","5.3","448","8491.3","ausländische Arbeitslose","ausländische Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren"
