"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Name Basiswert 1","Name Basiswert 2"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","Stadt München","47.7","168997.5","354448.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","01 Altstadt - Lehel","43.4","2100.8","4837","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","02 Ludwigsvorstadt - Isarvorstadt","40.6","6014.8","14809.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","03 Maxvorstadt","45.6","6024.8","13199","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","04 Schwabing - West","48.2","6453","13378","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","05 Au - Haidhausen","49","6129","12496.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","06 Sendling","49.1","4510.5","9177.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","07 Sendling - Westpark","49.8","6832.3","13724.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","08 Schwanthalerhöhe","48.5","4175","8601.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","09 Neuhausen - Nymphenburg","48.2","9819.5","20371","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","10 Moosach","51","6711.3","13170.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","11 Milbertshofen - Am Hart","48.8","12626.8","25881","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","12 Schwabing - Freimann","40.3","7872.3","19534","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","13 Bogenhausen","43","7277.5","16930.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","14 Berg am Laim","50.8","5962.8","11739.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","15 Trudering - Riem","46.2","6013.5","13018","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","16 Ramersdorf - Perlach","49.3","14677.5","29792.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","17 Obergiesing - Fasangarten","49.7","6958.3","14005","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","18 Untergiesing - Harlaching","47.1","5188.5","11016.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","46.8","9465.5","20246.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","20 Hadern","47.4","5407","11401.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","21 Pasing - Obermenzing","48","6333","13181.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","22 Aubing - Lochhausen - Langwied","46.7","4518","9678.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","23 Allach - Untermenzing","47.3","2641","5581.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","24 Feldmoching - Hasenbergl","50.5","8191","16219.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2016","25 Laim","52.3","6519.5","12456.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","Stadt München","46.7","157521","337489.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","01 Altstadt - Lehel","43.8","2011.8","4593","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","02 Ludwigsvorstadt - Isarvorstadt","39.5","5567.8","14093.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","03 Maxvorstadt","45","5580.3","12398.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","04 Schwabing - West","47.2","6087.5","12894.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","05 Au - Haidhausen","48","5819.3","12119.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","06 Sendling","47.4","4280.8","9024","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","07 Sendling - Westpark","48.2","6313.8","13103.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","08 Schwanthalerhöhe","47.2","3995.5","8464","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","09 Neuhausen - Nymphenburg","46.8","9314.8","19911.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","10 Moosach","48.5","6395.3","13174.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","11 Milbertshofen - Am Hart","46.8","11715.8","25054","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","12 Schwabing - Freimann","39.4","7212.8","18285.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","13 Bogenhausen","42.9","6685.8","15581.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","14 Berg am Laim","50.2","5676.8","11317","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","15 Trudering - Riem","46.7","5567.5","11925","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","16 Ramersdorf - Perlach","48.3","13774.5","28500.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","17 Obergiesing - Fasangarten","48","6541.3","13622","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","18 Untergiesing - Harlaching","47.5","4799.5","10101.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","46.7","8605.3","18423.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","20 Hadern","46.1","5003.5","10857.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","21 Pasing - Obermenzing","46.2","5837.3","12634.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","22 Aubing - Lochhausen - Langwied","46.8","3974.5","8491.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","23 Allach - Untermenzing","46.4","2421.3","5222.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","24 Feldmoching - Hasenbergl","48.4","7619","15745","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2015","25 Laim","51","6090.8","11951.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","Stadt München","45.5","144910.8","318539.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","01 Altstadt - Lehel","42","1840.3","4376.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","02 Ludwigsvorstadt - Isarvorstadt","40.2","5127.3","12761.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","03 Maxvorstadt","43.8","5097","11642.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","04 Schwabing - West","45.8","5622.3","12285.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","05 Au - Haidhausen","47.1","5457.5","11576.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","06 Sendling","45.5","3996","8785","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","07 Sendling - Westpark","46.5","5647.3","12148.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","08 Schwanthalerhöhe","47","3888.5","8273","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","09 Neuhausen - Nymphenburg","45.7","8717","19057","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","10 Moosach","46.8","5910.8","12637.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","11 Milbertshofen - Am Hart","44.9","10836","24142.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","12 Schwabing - Freimann","38.5","6543.3","17007.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","13 Bogenhausen","42.9","6139.5","14314","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","14 Berg am Laim","49.2","5244.8","10653","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","15 Trudering - Riem","45.8","5112.3","11156","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","16 Ramersdorf - Perlach","47.5","12780","26933.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","17 Obergiesing - Fasangarten","46.7","5996.8","12849.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","18 Untergiesing - Harlaching","46.2","4403.5","9537.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","44.5","7673.8","17228.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","20 Hadern","45.1","4627.8","10261.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","21 Pasing - Obermenzing","44.8","5253.8","11715.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","22 Aubing - Lochhausen - Langwied","45.2","3644.8","8069.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","23 Allach - Untermenzing","44.7","2153.8","4821.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","24 Feldmoching - Hasenbergl","46.6","6980.3","14967.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2014","25 Laim","49.4","5596","11336.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","Stadt München","45.4","136715","301372.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","01 Altstadt - Lehel","41.3","1700","4121","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
