"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Allgemeine Geburtenrate","ausländisch","2017","Stadt München","58","6886","118766.2","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","01 Altstadt - Lehel","40.8","66","1618.6","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","02 Ludwigsvorstadt - Isarvorstadt","39","178","4558.7","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","03 Maxvorstadt","39.8","174","4373.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","04 Schwabing - West","44.4","220","4950.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","05 Au - Haidhausen","51.7","212","4098.2","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","06 Sendling","44.3","131","2953.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","07 Sendling - Westpark","59.3","282","4755.8","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","08 Schwanthalerhöhe","43","111","2583.6","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","09 Neuhausen - Nymphenburg","58.5","403","6885.1","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","10 Moosach","60.9","268","4401.2","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","11 Milbertshofen - Am Hart","57.3","494","8622","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","12 Schwabing - Freimann","51.7","351","6784.7","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","13 Bogenhausen","61.5","357","5802.4","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
"Allgemeine Geburtenrate","ausländisch","2017","14 Berg am Laim","73.5","286","3893.7","","","","Anzahl der Geborenen ausländischer Mütter","Anzahl ausländische Frauen (Alter von 15 bis unter 45 Jahre)","","",""
