"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Einpersonenhaushalte","ausländisch","2016","Stadt München","25.9","117946","455017","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","01 Altstadt - Lehel","28.6","2429","8497","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","02 Ludwigsvorstadt - Isarvorstadt","29.9","6394","21373","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","03 Maxvorstadt","25.7","5952","23124","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","04 Schwabing - West","22.1","5553","25090","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","05 Au - Haidhausen","23.9","5208","21756","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","06 Sendling","23.4","3460","14760","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","07 Sendling - Westpark","24.6","4466","18169","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","08 Schwanthalerhöhe","30.9","3342","10833","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","09 Neuhausen - Nymphenburg","22.3","7291","32679","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","10 Moosach","27.6","4021","14581","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","11 Milbertshofen - Am Hart","34.4","7087","20599","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","12 Schwabing - Freimann","26.8","6047","22588","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","13 Bogenhausen","23.8","5780","24248","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","14 Berg am Laim","27.4","3717","13550","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","15 Trudering - Riem","25.6","3467","13527","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","16 Ramersdorf - Perlach","29.2","8092","27732","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","17 Obergiesing - Fasangarten","26.9","4852","18018","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","18 Untergiesing - Harlaching","23.3","4349","18636","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","23.6","6146","26094","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","20 Hadern","24.3","2890","11910","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","21 Pasing - Obermenzing","23.6","4404","18627","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","22 Aubing - Lochhausen - Langwied","26.3","2419","9213","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","23 Allach - Untermenzing","25.5","1610","6318","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","24 Feldmoching - Hasenbergl","31.6","4227","13366","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
"Einpersonenhaushalte","ausländisch","2016","25 Laim","24","4737","19706","","","","Einpersonen- Haushalte ausländisch","Alle Einpersonenhaushalte 18 Jahre und älter","","",""
