"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Migrationshintergrundquote","Deutsche gesamt","2017","Stadt München","21.4","236547","1104224","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","01 Altstadt - Lehel","16.4","2526","15433","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","02 Ludwigsvorstadt - Isarvorstadt","16.1","5934","36807","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","03 Maxvorstadt","16.7","6404","38308","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","04 Schwabing - West","18.2","9633","52909","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","05 Au - Haidhausen","17.5","8197","46748","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","06 Sendling","17.9","5347","29868","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","07 Sendling - Westpark","21.8","9279","42498","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","08 Schwanthalerhöhe","21.7","4283","19699","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","09 Neuhausen - Nymphenburg","19.2","14303","74515","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","10 Moosach","25.4","9417","37060","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","11 Milbertshofen - Am Hart","32.7","14590","44584","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
"Migrationshintergrundquote","Deutsche gesamt","2017","12 Schwabing - Freimann","22.1","11992","54361","","","","Personen mit Migrationshintergrund - Deutsche","Hauptwohnsitzbevölkerung - Deutsche","","",""
